PrintStream.append(char)	Appends the specified character to this output stream
FileInputStream.getFD()	Returns the FileDescriptor object that represents the connection to the actual file in the file system being used by this FileInputStream
LineNumberInputStream.available()	Returns the number of bytes that can be read from this input stream without blocking
File.getParent()	Returns the pathname string of this abstract pathname s parent or null if this pathname does not name a parent directory
PrintWriter.PrintWriter(Writer)	Creates a new PrintWriter without automatic line flushing
StringReader.read(char[],int,int)	Reads characters into a portion of an array
File.setReadable(boolean)	A convenience method to set the owner s read permission for this abstract pathname
ObjectOutputStream.writeLong(long)	Writes a 64 bit long
PushbackReader.close()	Closes the stream and releases any system resources associated with it Once the stream has been closed further read unread ready or skip invocations will throw an IOException
RandomAccessFile.readInt()	Reads a signed 32 bit integer from this file This method reads 4 bytes from the file starting at the current file pointer
File.File(String,String)	Creates a new File instance from a parent pathname string and a child pathname string
Console.writer()	Retrieves the unique PrintWriter object associated with this console
PipedReader.PipedReader(PipedWriter)	Creates a PipedReader so that it is connected to the piped writer src Data written to src will then be available as input from this stream
BufferedOutputStream.write(int)	Writes the specified byte to this buffered output stream
SequenceInputStream.close()	Closes this input stream and releases any system resources associated with the stream
CharArrayWriter.append(char)	Appends the specified character to this writer
PipedInputStream.read(byte[],int,int)	Reads up to len bytes of data from this piped input stream into an array of bytes Less than len bytes will be read if the end of the data stream is reached or if len exceeds the pipe s buffer size
PrintStream.printf(Locale,String,)	A convenience method to write a formatted string to this output stream using the specified format string and arguments
ByteArrayOutputStream.writeTo(OutputStream)	Writes the complete contents of this byte array output stream to the specified output stream argument as if by calling the output stream s write method using out write buf 0 count
FileOutputStream.FileOutputStream(String,boolean)	Creates a file output stream to write to the file with the specified name If the second argument is true then bytes will be written to the end of the file rather than the beginning
Writer.append(CharSequence,int,int)	Appends a subsequence of the specified character sequence to this writer
FileOutputStream.FileOutputStream(File,boolean)	Creates a file output stream to write to the file represented by the specified File object If the second argument is true then bytes will be written to the end of the file rather than the beginning A new FileDescriptor object is created to represent this file connection
LineNumberInputStream.getLineNumber()	Returns the current line number
DataOutputStream.writeBoolean(boolean)	Writes a boolean to the underlying output stream as a 1 byte value The value true is written out as the value byte 1 the value false is written out as the value byte 0 If no exception is thrown the counter written is incremented by 1
FileWriter.FileWriter(File,boolean)	Constructs a FileWriter object given a File object If the second argument is true then bytes will be written to the end of the file rather than the beginning
ObjectOutputStream.defaultWriteObject()	Write the non static and non transient fields of the current class to this stream This may only be called from the writeObject method of the class being serialized It will throw the NotActiveException if it is called otherwise
File.setWritable(boolean)	A convenience method to set the owner s write permission for this abstract pathname
PrintStream.format(Locale,String,)	Writes a formatted string to this output stream using the specified format string and arguments
CharArrayWriter.reset()	Resets the buffer so that you can use it again without throwing away the already allocated buffer
ObjectInputStream.GetField.get(String,short)	Get the value of the named short field from the persistent field
File.mkdir()	Creates the directory named by this abstract pathname
PrintStream.println(float)	Prints a float and then terminate the line This method behaves as though it invokes print float and then println
FileWriter.FileWriter(File)	Constructs a FileWriter object given a File object
Console.flush()	Flushes the console and forces any buffered output to be written immediately
InputStreamReader.read(char[],int,int)	Reads characters into a portion of an array
File.listFiles(FilenameFilter)	Returns an array of abstract pathnames denoting the files and directories in the directory denoted by this abstract pathname that satisfy the specified filter The behavior of this method is the same as that of the listFiles method except that the pathnames in the returned array must satisfy the filter If the given filter is null then all pathnames are accepted Otherwise a pathname satisfies the filter if and only if the value true results when the FilenameFilter accept File String method of the filter is invoked on this abstract pathname and the name of a file or directory in the directory that it denotes
File.length()	Returns the length of the file denoted by this abstract pathname
RandomAccessFile.readFully(byte[],int,int)	Reads exactly len bytes from this file into the byte array starting at the current file pointer This method reads repeatedly from the file until the requested number of bytes are read This method blocks until the requested number of bytes are read the end of the stream is detected or an exception is thrown
PipedWriter.close()	Closes this piped output stream and releases any system resources associated with this stream This stream may no longer be used for writing characters
DataInput.readUnsignedShort()	Reads two input bytes and returns an int value in the range 0 through 65535 Let a be the first byte read and b be the second byte The value returned is a 0xff 8 b 0xff This method is suitable for reading the bytes written by the writeShort method of interface DataOutput if the argument to writeShort was intended to be a value in the range 0 through 65535
FileDescriptor.sync()	Force all system buffers to synchronize with the underlying device This method returns after all modified data and attributes of this FileDescriptor have been written to the relevant device s In particular if this FileDescriptor refers to a physical storage medium such as a file in a file system sync will not return until all in memory modified copies of buffers associated with this FileDescriptor have been written to the physical medium
PushbackInputStream.read()	Reads the next byte of data from this input stream The value byte is returned as an int in the range 0 to 255 If no byte is available because the end of the stream has been reached the value 1 is returned This method blocks until input data is available the end of the stream is detected or an exception is thrown
PrintStream.checkError()	Flushes the stream and checks its error state The internal error state is set to true when the underlying output stream throws an IOException other than InterruptedIOException and when the setError method is invoked If an operation on the underlying output stream throws an InterruptedIOException then the PrintStream converts the exception back into an interrupt by doing Thread currentThread interrupt or the equivalent
StreamTokenizer.StreamTokenizer(InputStream)	Creates a stream tokenizer that parses the specified input stream The stream tokenizer is initialized to the following default state All byte values A through Z a through z and u00A0 through u00FF are considered to be alphabetic
BufferedReader.read()	Reads a single character
PipedOutputStream.write(byte[],int,int)	Writes len bytes from the specified byte array starting at offset off to this piped output stream
ByteArrayInputStream.available()	Returns the number of remaining bytes that can be read or skipped over from this input stream
PrintWriter.flush()	Flushes the stream
ObjectStreamField.getType()	Get the type of the field If the type is non primitive and this ObjectStreamField was obtained from a deserialized ObjectStreamClass instance then Object class is returned
PrintStream.append(CharSequence)	Appends the specified character sequence to this output stream
Writer.flush()	Flushes the stream If the stream has saved any characters from the various write methods in a buffer write them immediately to their intended destination Then if that destination is another character or byte stream flush it Thus one flush invocation will flush all the buffers in a chain of Writers and OutputStreams
DataOutputStream.write(int)	Writes the specified byte the low eight bits of the argument b to the underlying output stream If no exception is thrown the counter written is incremented by 1
BufferedInputStream.BufferedInputStream(InputStream,int)	Creates a BufferedInputStream with the specified buffer size and saves its argument the input stream in for later use An internal buffer array of length size is created and stored in buf
PrintWriter.PrintWriter(String)	Creates a new PrintWriter without automatic line flushing with the specified file name This convenience constructor creates the necessary intermediate OutputStreamWriter which will encode characters using the default charset for this instance of the Java virtual machine
PrintStream.printf(String,)	A convenience method to write a formatted string to this output stream using the specified format string and arguments
PrintStream.PrintStream(OutputStream)	Creates a new print stream This stream will not flush automatically
BufferedReader.readLine()	Reads a line of text A line is considered to be terminated by any one of a line feed n a carriage return r or a carriage return followed immediately by a linefeed
Console.readLine(String,)	Provides a formatted prompt then reads a single line of text from the console
PrintWriter.PrintWriter(OutputStream,boolean)	Creates a new PrintWriter from an existing OutputStream This convenience constructor creates the necessary intermediate OutputStreamWriter which will convert characters into bytes using the default character encoding
PrintWriter.println(int)	Prints an integer and then terminates the line This method behaves as though it invokes print int and then println
PrintStream.write(int)	Writes the specified byte to this stream If the byte is a newline and automatic flushing is enabled then the flush method will be invoked
File.isAbsolute()	Tests whether this abstract pathname is absolute The definition of absolute pathname is system dependent On UNIX systems a pathname is absolute if its prefix is On Microsoft Windows systems a pathname is absolute if its prefix is a drive specifier followed by or if its prefix is
DataInputStream.readUnsignedByte()	See the general contract of the readUnsignedByte method of DataInput
SequenceInputStream.SequenceInputStream(InputStream,InputStream)	Initializes a newly created SequenceInputStream by remembering the two arguments which will be read in order first s1 and then s2 to provide the bytes to be read from this SequenceInputStream
FilterWriter.close()	Description copied from class Writer
PipedInputStream.PipedInputStream(PipedOutputStream)	Creates a PipedInputStream so that it is connected to the piped output stream src Data bytes written to src will then be available as input from this stream
ObjectStreamField.getTypeCode()	Returns character encoding of field type The encoding is as follows B byte C char D double F float I int J long L class or interface S short Z boolean array
PipedWriter.connect(PipedReader)	Connects this piped writer to a receiver If this object is already connected to some other piped reader an IOException is thrown
StringBufferInputStream.skip(long)	Skips n bytes of input from this input stream Fewer bytes might be skipped if the end of the input stream is reached
FileInputStream.FileInputStream(File)	Creates a FileInputStream by opening a connection to an actual file the file named by the File object file in the file system
PrintWriter.PrintWriter(File,String)	Creates a new PrintWriter without automatic line flushing with the specified file and charset This convenience constructor creates the necessary intermediate OutputStreamWriter which will encode characters using the provided charset
BufferedInputStream.BufferedInputStream(InputStream)	Creates a BufferedInputStream and saves its argument the input stream in for later use An internal buffer array is created and stored in buf
ObjectStreamField.getOffset()	Offset of field within instance data
CharArrayWriter.CharArrayWriter()	Creates a new CharArrayWriter
Console.readPassword(String,)	Provides a formatted prompt then reads a password or passphrase from the console with echoing disabled
FileInputStream.close()	Closes this file input stream and releases any system resources associated with the stream
StringWriter.write(String)	Write a string
RandomAccessFile.readUTF()	Reads in a string from this file The string has been encoded using a modified UTF 8 format
DataInputStream.readShort()	See the general contract of the readShort method of DataInput
DataOutputStream.write(byte[],int,int)	Writes len bytes from the specified byte array starting at offset off to the underlying output stream
ObjectInputStream.GetField.ObjectInputStream.GetField()	
StreamTokenizer.parseNumbers()	Specifies that numbers should be parsed by this tokenizer The syntax table of this tokenizer is modified so that each of the twelve characters 0 1 2 3 4 5 6 7 8 9 has the numeric attribute
PrintStream.println(double)	Prints a double and then terminate the line This method behaves as though it invokes print double and then println
PipedReader.close()	Closes this piped stream and releases any system resources associated with the stream
BufferedInputStream.available()	Returns an estimate of the number of bytes that can be read or skipped over from this input stream without blocking by the next invocation of a method for this input stream The next invocation might be the same thread or another thread A single read or skip of this many bytes will not block but may read or skip fewer bytes
ObjectOutputStream.writeBytes(String)	Writes a String as a sequence of bytes
ByteArrayInputStream.mark(int)	Set the current marked position in the stream
PrintStream.println(String)	Prints a String and then terminate the line This method behaves as though it invokes print String and then println
DataOutput.writeBoolean(boolean)	Writes a boolean value to this output stream
ObjectOutput.write(byte[])	Writes an array of bytes This method will block until the bytes are actually written
PrintStream.print(long)	Prints a long integer The string produced by String valueOf long is translated into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
FilterReader.close()	Description copied from class Reader
ObjectOutputStream.write(byte[],int,int)	Writes a sub array of bytes
PipedOutputStream.flush()	Flushes this output stream and forces any buffered output bytes to be written out
DataOutput.writeShort(int)	Writes two bytes to the output stream to represent the value of the argument
PrintWriter.write(String,int,int)	Writes a portion of a string
ObjectInputStream.GetField.get(String,float)	Get the value of the named float field from the persistent field
PrintWriter.printf(Locale,String,)	A convenience method to write a formatted string to this writer using the specified format string and arguments If automatic flushing is enabled calls to this method will flush the output buffer
InputStreamReader.ready()	Tells whether this stream is ready to be read An InputStreamReader is ready if its input buffer is not empty or if bytes are available to be read from the underlying byte stream
RandomAccessFile.writeFloat(float)	Converts the float argument to an int using the floatToIntBits method in class Float and then writes that int value to the file as a four byte quantity high byte first The write starts at the current position of the file pointer
File.File(URI)	Creates a new File instance by converting the given file URI into an abstract pathname
SerializablePermission.SerializablePermission(String)	Creates a new SerializablePermission with the specified name
BufferedReader.BufferedReader(Reader,int)	Creates a buffering character input stream that uses an input buffer of the specified size
DataInputStream.skipBytes(int)	See the general contract of the skipBytes method of DataInput
BufferedOutputStream.flush()	Flushes this buffered output stream This forces any buffered output bytes to be written out to the underlying output stream
StringWriter.getBuffer()	Return the string buffer itself
DataOutput.write(byte[])	Writes to the output stream all the bytes in array b
ByteArrayInputStream.close()	Closing a ByteArrayInputStream has no effect The methods in this class can be called after the stream has been closed without generating an IOException
RandomAccessFile.writeByte(int)	Writes a byte to the file as a one byte value The write starts at the current position of the file pointer
CharArrayWriter.append(CharSequence,int,int)	Appends a subsequence of the specified character sequence to this writer
DataInputStream.readUTF()	See the general contract of the readUTF method of DataInput
ObjectOutputStream.PutField.put(String,boolean)	Put the value of the named boolean field into the persistent field
RandomAccessFile.readBoolean()	Reads a boolean from this file This method reads a single byte from the file starting at the current file pointer
FilterInputStream.available()	Returns an estimate of the number of bytes that can be read or skipped over from this input stream without blocking by the next caller of a method for this input stream The next caller might be the same thread or another thread A single read or skip of this many bytes will not block but may read or skip fewer bytes
PushbackInputStream.reset()	Repositions this stream to the position at the time the mark method was last called on this input stream
StringReader.skip(long)	Skips the specified number of characters in the stream Returns the number of characters that were skipped
FilterInputStream.reset()	Repositions this stream to the position at the time the mark method was last called on this input stream
LineNumberInputStream.skip(long)	Skips over and discards n bytes of data from this input stream The skip method may for a variety of reasons end up skipping over some smaller number of bytes possibly 0 The actual number of bytes skipped is returned If n is negative no bytes are skipped
ObjectInputStream.readFloat()	Reads a 32 bit float
Writer.write(String,int,int)	Writes a portion of a string
RandomAccessFile.write(byte[])	Writes b length bytes from the specified byte array to this file starting at the current file pointer
