Thread.checkAccess()	Determines if the currently running thread has permission to modify this thread
MethodHandles.filterReturnValue(MethodHandle,MethodHandle)	Adapts a target method handle by post processing its return value if any with a filter another method handle
Long.reverseBytes(long)	Returns the value obtained by reversing the order of the bytes in the two s complement representation of the specified long value
System.loadLibrary(String)	Loads the system library specified by the libname argument The manner in which a library name is mapped to the actual system library is system dependent
ProcessBuilder.Redirect.type()	Returns the type of this Redirect
StrictMath.nextUp(double)	Returns the floating point value adjacent to d in the direction of positive infinity This method is semantically equivalent to nextAfter d Double POSITIVE INFINITY however a nextUp implementation may run faster than its equivalent nextAfter call
StrictMath.asin(double)	Returns the arc sine of a value the returned angle is in the range pi 2 through pi 2 Special cases If the argument is NaN or its absolute value is greater than 1 then the result is NaN
MemoryPoolMXBean.isUsageThresholdSupported()	Tests if this memory pool supports usage threshold
RuntimeException.RuntimeException(String)	Constructs a new runtime exception with the specified detail message
OutOfMemoryError.OutOfMemoryError()	Constructs an OutOfMemoryError with no detail message
BootstrapMethodError.BootstrapMethodError(Throwable)	Constructs a BootstrapMethodError with the specified cause
Integer.compareTo(Integer)	Compares two Integer objects numerically
MemoryNotificationInfo.from(CompositeData)	Returns a MemoryNotificationInfo object represented by the given CompositeData
GarbageCollectorMXBean.getCollectionCount()	Returns the total number of collections that have occurred
StrictMath.tanh(double)	Returns the hyperbolic tangent of a double value
Integer.toString(int,int)	Returns a string representation of the first argument in the radix specified by the second argument
ProcessBuilder.directory()	Returns this process builder s working directory
ManagementFactory.getPlatformManagementInterfaces()	Returns the set of Class objects subinterface of PlatformManagedObject representing all management interfaces for monitoring and managing the Java platform
UndeclaredThrowableException.getCause()	Returns the cause of this exception the Throwable instance wrapped in this UndeclaredThrowableException which may be null
StringBuilder.capacity()	Returns the current capacity The capacity is the amount of storage available for newly inserted characters beyond which an allocation will occur
MutableCallSite.MutableCallSite(MethodHandle)	Creates a call site object with an initial target method handle
Short.reverseBytes(short)	Returns the value obtained by reversing the order of the bytes in the two s complement representation of the specified short value
ProcessBuilder.Redirect.from(File)	Returns a redirect to read from the specified file
String.format(String,)	Returns a formatted string using the specified format string and arguments
String.String(byte[])	Constructs a new String by decoding the specified array of bytes using the platform s default charset The length of the new String is a function of the charset and hence may not be equal to the length of the byte array
Thread.Thread(String)	Allocates a new Thread object This constructor has the same effect as Thread null null name
String.compareTo(String)	Compares two strings lexicographically
Math.abs(long)	Returns the absolute value of a long value
Number.doubleValue()	Returns the value of the specified number as a double
String.contentEquals(StringBuffer)	Compares this string to the specified StringBuffer The result is true if and only if this String represents the same sequence of characters as the specified StringBuffer
System.load(String)	Loads a code file with the specified filename from the local file system as a dynamic library The filename argument must be a complete path name
Character.toLowerCase(char)	Converts the character argument to lowercase using case mapping information from the UnicodeData file
System.currentTimeMillis()	Returns the current time in milliseconds Note that while the unit of time of the return value is a millisecond the granularity of the value depends on the underlying operating system and may be larger For example many operating systems measure time in units of tens of milliseconds
Boolean.hashCode()	Returns a hash code for this Boolean object
Short.valueOf(short)	Returns a Short instance representing the specified short value
ClassLoader.getSystemResourceAsStream(String)	Open for reading a resource of the specified name from the search path used to load classes This method locates the resource through the system class loader see getSystemClassLoader
MemoryPoolMXBean.getUsage()	Returns an estimate of the memory usage of this memory pool
Class.getSuperclass()	Returns the Class representing the superclass of the entity class interface primitive type or void represented by this Class If this Class represents either the Object class an interface a primitive type or void then null is returned If this object represents an array class then the Class object representing the Object class is returned
String.valueOf(char)	Returns the string representation of the char argument
Character.isJavaIdentifierPart(int)	Determines if the character Unicode code point may be part of a Java identifier as other than the first character
ClassNotFoundException.ClassNotFoundException(String)	Constructs a ClassNotFoundException with the specified detail message
Instrumentation.appendToSystemClassLoaderSearch(JarFile)	Specifies a JAR file with instrumentation classes to be defined by the system class loader
Float.doubleValue()	Returns the double value of this Float object
ProcessBuilder.directory(File)	Sets this process builder s working directory
System.mapLibraryName(String)	Maps a library name into a platform specific string representing a native library
Runtime.traceMethodCalls(boolean)	Enables Disables tracing of method calls
Character.isSupplementaryCodePoint(int)	Determines whether the specified character Unicode code point is in the supplementary character range
Iterable.iterator()	Returns an iterator over a set of elements of type T
SecurityManager.checkRead(String,Object)	Throws a SecurityException if the specified security context is not allowed to read the file specified by the string argument The context must be a security context returned by a previous call to getSecurityContext
VolatileCallSite.setTarget(MethodHandle)	Updates the target method of this call site as a volatile variable
CallSite.type()	Returns the type of this call site s target
StrictMath.round(float)	Returns the closest int to the argument with ties rounding up
StrictMath.expm1(double)	Returns ex 1 Note that for values of x near 0 the exact sum of expm1 x 1 is much closer to the true result of ex than exp x
Array.setLong(Object,int,long)	Sets the value of the indexed component of the specified array object to the specified long value
Thread.interrupt()	Interrupts this thread
Class.getSimpleName()	Returns the simple name of the underlying class as given in the source code Returns an empty string if the underlying class is anonymous
Modifier.toString(int)	Return a string describing the access modifier flags in the specified modifier For example public final synchronized strictfp The modifier names are returned in an order consistent with the suggested modifier orderings given in sections 8 1 1 8 3 1 8 4 3 8 8 3 and 9 1 1 of The Java Language Specification
StrictMath.ulp(float)	Returns the size of an ulp of the argument An ulp of a float value is the positive distance between this floating point value and the float value next larger in magnitude Note that for non NaN x ulp x ulp x
Integer.valueOf(int)	Returns an Integer instance representing the specified int value If a new Integer instance is not required this method should generally be used in preference to the constructor Integer int as this method is likely to yield significantly better space and time performance by caching frequently requested values
Class.getDeclaredMethod(String,Class)	Returns a Method object that reflects the specified declared method of the class or interface represented by this Class object The name parameter is a String that specifies the simple name of the desired method and the parameterTypes parameter is an array of Class objects that identify the method s formal parameter types in declared order If more than one method with the same parameter types is declared in a class and one of these methods has a return type that is more specific than any of the others that method is returned otherwise one of the methods is chosen arbitrarily If the name is init or clinit a NoSuchMethodException is raised
System.gc()	Runs the garbage collector
SecurityManager.checkPermission(Permission,Object)	Throws a SecurityException if the specified security context is denied access to the resource specified by the given permission
Float.Float(float)	Constructs a newly allocated Float object that represents the primitive float argument
MethodType.erase()	Erases all reference types to Object
MemoryMXBean.isVerbose()	Tests if verbose output for the memory system is enabled
Thread.isInterrupted()	Tests whether this thread has been interrupted The interrupted status of the thread is unaffected by this method
IllegalClassFormatException.IllegalClassFormatException(String)	Constructs an IllegalClassFormatException with the specified detail message
String.copyValueOf(char[],int,int)	Returns a String that represents the character sequence in the array specified
ProcessBuilder.ProcessBuilder()	Constructs a process builder with the specified operating system program and arguments This is a convenience constructor that sets the process builder s command to a string list containing the same strings as the command array in the same order It is not checked whether command corresponds to a valid operating system command
EnumConstantNotPresentException.enumType()	Returns the type of the missing enum constant
Float.equals(Object)	Compares this object against the specified object The result is true if and only if the argument is not null and is a Float object that represents a float with the same value as the float represented by this object For this purpose two float values are considered to be the same if and only if the method floatToIntBits float returns the identical int value when applied to each
Runtime.exec(String[])	Executes the specified command and arguments in a separate process
StackOverflowError.StackOverflowError()	Constructs a StackOverflowError with no detail message
Character.getType(char)	Returns a value indicating a character s general category
Long.toString(long,int)	Returns a string representation of the first argument in the radix specified by the second argument
MethodHandles.Lookup.lookupModes()	Tells which access protection classes of members this lookup object can produce
StringBuffer.reverse()	Causes this character sequence to be replaced by the reverse of the sequence If there are any surrogate pairs included in the sequence these are treated as single characters for the reverse operation Thus the order of the high low surrogates is never reversed
Float.shortValue()	Returns the value of this Float as a short by casting to a short
StrictMath.min(int,int)	Returns the smaller of two int values That is the result the argument closer to the value of Integer MIN VALUE If the arguments have the same value the result is that same value
Double.doubleToRawLongBits(double)	Returns a representation of the specified floating point value according to the IEEE 754 floating point double format bit layout preserving Not a Number NaN values
Modifier.isFinal(int)	Return true if the integer argument includes the final modifier false otherwise
System.clearProperty(String)	Removes the system property indicated by the specified key
Integer.toOctalString(int)	Returns a string representation of the integer argument as an unsigned integer in base 8
Float.byteValue()	Returns the value of this Float as a byte by casting to a byte
Character.toCodePoint(char,char)	Converts the specified surrogate pair to its supplementary code point value This method does not validate the specified surrogate pair The caller must validate it using isSurrogatePair if necessary
ThreadMXBean.getPeakThreadCount()	Returns the peak live thread count since the Java virtual machine started or peak was reset
ThreadGroup.setMaxPriority(int)	Sets the maximum priority of the group Threads in the thread group that already have a higher priority are not affected
IllegalAccessException.IllegalAccessException()	Constructs an IllegalAccessException without a detail message
StackOverflowError.StackOverflowError(String)	Constructs a StackOverflowError with the specified detail message
System.getProperties()	Determines the current system properties
Character.digit(int,int)	Returns the numeric value of the specified character Unicode code point in the specified radix
ThreadMXBean.getThreadInfo(long[],int)	Returns the thread info for each thread whose ID is in the input array ids with stack trace of a specified number of stack trace elements
Throwable.getSuppressed()	Returns an array containing all of the exceptions that were suppressed typically by the try with resources statement in order to deliver this exception
Class.getGenericSuperclass()	Returns the Type representing the direct superclass of the entity class interface primitive type or void represented by this Class
Math.tan(double)	Returns the trigonometric tangent of an angle Special cases If the argument is NaN or an infinity then the result is NaN
MethodHandle.isVarargsCollector()	Determines if this method handle supports variable arity calls
Character.charCount(int)	Determines the number of char values needed to represent the specified character Unicode code point If the specified character is equal to or greater than 0x10000 then the method returns 2 Otherwise the method returns 1
Double.isNaN(double)	Returns true if the specified number is a Not a Number NaN value false otherwise
Boolean.compare(boolean,boolean)	Compares two boolean values
Array.getFloat(Object,int)	Returns the value of the indexed component in the specified array object as a float
ThreadMXBean.getThreadUserTime(long)	Returns the CPU time that a thread of the specified ID has executed in user mode in nanoseconds
ThreadMXBean.findMonitorDeadlockedThreads()	Finds cycles of threads that are in deadlock waiting to acquire object monitors That is threads that are blocked waiting to enter a synchronization block or waiting to reenter a synchronization block after an Object wait call where each thread owns one monitor while trying to obtain another monitor already held by another thread in a cycle
Long.shortValue()	Returns the value of this Long as a short
Float.isInfinite()	Returns true if this Float value is infinitely large in magnitude false otherwise
Math.expm1(double)	Returns ex 1 Note that for values of x near 0 the exact sum of expm1 x 1 is much closer to the true result of ex than exp x
ManagementFactory.getClassLoadingMXBean()	Returns the managed bean for the class loading system of the Java virtual machine
Math.IEEEremainder(double,double)	Computes the remainder operation on two arguments as prescribed by the IEEE 754 standard
Math.min(double,double)	Returns the smaller of two double values That is the result is the value closer to negative infinity If the arguments have the same value the result is that same value If either value is NaN then the result is NaN Unlike the numerical comparison operators this method considers negative zero to be strictly smaller than positive zero If one argument is positive zero and the other is negative zero the result is negative zero
ThreadInfo.getStackTrace()	Returns the stack trace of the thread associated with this ThreadInfo
Character.toString()	Returns a String object representing this Character s value The result is a string of length 1 whose sole component is the primitive char value represented by this Character object
Process.getOutputStream()	Returns the output stream connected to the normal input of the subprocess Output to the stream is piped into the standard input of the process represented by this Process object
StringBuilder.insert(int,char[])	Inserts the string representation of the char array argument into this sequence
Thread.getThreadGroup()	Returns the thread group to which this thread belongs
Class.getDeclaredFields()	Returns an array of Field objects reflecting all the fields declared by the class or interface represented by this Class object This includes public protected default package access and private fields but excludes inherited fields
Byte.valueOf(byte)	Returns a Byte instance representing the specified byte value
StrictMath.min(float,float)	Returns the smaller of two float values That is the result is the value closer to negative infinity If the arguments have the same value the result is that same value If either value is NaN then the result is NaN Unlike the numerical comparison operators this method considers negative zero to be strictly smaller than positive zero If one argument is positive zero and the other is negative zero the result is negative zero
Thread.resume()	Resumes a suspended thread
Math.signum(double)	Returns the signum function of the argument zero if the argument is zero 1 0 if the argument is greater than zero 1 0 if the argument is less than zero
MethodHandle.asFixedArity()	Makes a fixed arity method handle which is otherwise equivalent to the the current method handle
ClassValue.get(Class)	Returns the value for the given class
Thread.setUncaughtExceptionHandler(UncaughtExceptionHandler)	Set the handler invoked when this thread abruptly terminates due to an uncaught exception
Method.getAnnotation(Class)	Description copied from interface AnnotatedElement
Package.getSpecificationVersion()	Returns the version number of the specification that this package implements
StrictMath.ceil(double)	Returns the smallest closest to negative infinity double value that is greater than or equal to the argument and is equal to a mathematical integer Special cases If the argument value is already equal to a mathematical integer then the result is the same as the argument If the argument is NaN or an infinity or positive zero or negative zero then the result is the same as the argument If the argument value is less than zero but greater than 1 0 then the result is negative zero Note that the value of StrictMath ceil x is exactly the value of StrictMath floor x
Long.floatValue()	Returns the value of this Long as a float
RuntimeMXBean.getVmVersion()	Returns the Java virtual machine implementation version
Character.compare(char,char)	Compares two char values numerically
StringBuilder.StringBuilder(String)	Constructs a string builder initialized to the contents of the specified string The initial capacity of the string builder is 16 plus the length of the string argument
StringBuffer.insert(int,long)	Inserts the string representation of the long argument into this sequence
Runtime.addShutdownHook(Thread)	Registers a new virtual machine shutdown hook
Character.isIdentifierIgnorable(int)	Determines if the specified character Unicode code point should be regarded as an ignorable character in a Java identifier or a Unicode identifier
SecurityManager.checkMemberAccess(Class,int)	Throws a SecurityException if the calling thread is not allowed to access members
Double.Double(String)	Constructs a newly allocated Double object that represents the floating point value of type double represented by the string The string is converted to a double value as if by the valueOf method
Math.copySign(double,double)	Returns the first floating point argument with the sign of the second floating point argument Note that unlike the StrictMath copySign method this method does not require NaN sign arguments to be treated as positive values implementations are permitted to treat some NaN arguments as positive and other NaN arguments as negative to allow greater performance
IndexOutOfBoundsException.IndexOutOfBoundsException()	Constructs an IndexOutOfBoundsException with no detail message
Integer.valueOf(String,int)	Returns an Integer object holding the value extracted from the specified String when parsed with the radix given by the second argument The first argument is interpreted as representing a signed integer in the radix specified by the second argument exactly as if the arguments were given to the parseInt java lang String int method The result is an Integer object that represents the integer value specified by the string
SecurityManager.checkPropertyAccess(String)	Throws a SecurityException if the calling thread is not allowed to access the system property with the specified key name
Integer.lowestOneBit(int)	Returns an int value with at most a single one bit in the position of the lowest order rightmost one bit in the specified int value Returns zero if the specified value has no one bits in its two s complement binary representation that is if it is equal to zero
Long.hashCode()	Returns a hash code for this Long The result is the exclusive OR of the two halves of the primitive long value held by this Long object That is the hashcode is the value of the expression int this longValue this longValue 32
Runtime.exit(int)	Terminates the currently running Java virtual machine by initiating its shutdown sequence This method never returns normally The argument serves as a status code by convention a nonzero status code indicates abnormal termination
NegativeArraySizeException.NegativeArraySizeException()	Constructs a NegativeArraySizeException with no detail message
Math.atan(double)	Returns the arc tangent of a value the returned angle is in the range pi 2 through pi 2 Special cases If the argument is NaN then the result is NaN
Math.signum(float)	Returns the signum function of the argument zero if the argument is zero 1 0f if the argument is greater than zero 1 0f if the argument is less than zero
Enum.compareTo(E)	Compares this enum with the specified object for order Returns a negative integer zero or a positive integer as this object is less than equal to or greater than the specified object
String.String(char[])	Allocates a new String so that it represents the sequence of characters currently contained in the character array argument The contents of the character array are copied subsequent modification of the character array does not affect the newly created string
RuntimeMXBean.getSystemProperties()	Returns a map of names and values of all system properties
Runtime.load(String)	Loads the specified filename as a dynamic library The filename argument must be a complete path name for example Runtime getRuntime load home avh lib libX11 so
Character.isWhitespace(int)	Determines if the specified character Unicode code point is white space according to Java A character is a Java whitespace character if and only if it satisfies one of the following criteria It is a Unicode space character SPACE SEPARATOR LINE SEPARATOR or PARAGRAPH SEPARATOR but is not also a non breaking space u00A0 u2007 u202F
Enum.getDeclaringClass()	Returns the Class object corresponding to this enum constant s enum type Two enum constants e1 and e2 are of the same enum type if and only if e1 getDeclaringClass e2 getDeclaringClass
Double.isInfinite(double)	Returns true if the specified number is infinitely large in magnitude false otherwise
Math.min(float,float)	Returns the smaller of two float values That is the result is the value closer to negative infinity If the arguments have the same value the result is that same value If either value is NaN then the result is NaN Unlike the numerical comparison operators this method considers negative zero to be strictly smaller than positive zero If one argument is positive zero and the other is negative zero the result is negative zero
AnnotatedElement.isAnnotationPresent(Class)	Returns true if an annotation for the specified type is present on this element else false This method is designed primarily for convenient access to marker annotations
Constructor.getParameterAnnotations()	Returns an array of arrays that represent the annotations on the formal parameters in declaration order of the method represented by this Constructor object Returns an array of length zero if the underlying method is parameterless If the method has one or more parameters a nested array of length zero is returned for each parameter with no annotations The annotation objects contained in the returned arrays are serializable The caller of this method is free to modify the returned arrays it will have no effect on the arrays returned to other callers
MethodHandleProxies.wrapperInstanceType(Object)	Recovers the unique single method interface type for which this wrapper instance was created
SecurityManager.checkMulticast(InetAddress,byte)	Throws a SecurityException if the calling thread is not allowed to use join leave send receive IP multicast
IllegalClassFormatException.IllegalClassFormatException()	Constructs an IllegalClassFormatException with no detail message
MemoryUsage.MemoryUsage(long,long,long,long)	Constructs a MemoryUsage object
StringBuffer.append(CharSequence,int,int)	Appends a subsequence of the specified CharSequence to this sequence
StrictMath.ulp(double)	Returns the size of an ulp of the argument An ulp of a double value is the positive distance between this floating point value and the double value next larger in magnitude Note that for non NaN x ulp x ulp x
SecurityManager.checkExit(int)	Throws a SecurityException if the calling thread is not allowed to cause the Java Virtual Machine to halt with the specified status code
Process.Process()	
Short.valueOf(String,int)	Returns a Short object holding the value extracted from the specified String when parsed with the radix given by the second argument The first argument is interpreted as representing a signed short in the radix specified by the second argument exactly as if the argument were given to the parseShort java lang String int method The result is a Short object that represents the short value specified by the string
Integer.Integer(int)	Constructs a newly allocated Integer object that represents the specified int value
String.split(String)	Splits this string around matches of the given regular expression
Math.max(int,int)	Returns the greater of two int values That is the result is the argument closer to the value of Integer MAX VALUE If the arguments have the same value the result is that same value
CloneNotSupportedException.CloneNotSupportedException()	Constructs a CloneNotSupportedException with no detail message
Class.desiredAssertionStatus()	Returns the assertion status that would be assigned to this class if it were to be initialized at the time this method is invoked
String.intern()	Returns a canonical representation for the string object
StringBuffer.charAt(int)	Returns the char value in this sequence at the specified index
AssertionError.AssertionError(char)	Constructs an AssertionError with its detail message derived from the specified char which is converted to a string as defined in section 15 18 1 1 of The Java Language Specification
ThreadInfo.getWaitedTime()	Returns the approximate accumulated elapsed time in milliseconds that the thread associated with this ThreadInfo has waited for notification since thread contention monitoring is enabled
StringBuffer.append(CharSequence)	Appends the specified CharSequence to this sequence
RuntimeException.RuntimeException(String,Throwable)	Constructs a new runtime exception with the specified detail message and cause Note that the detail message associated with cause is not automatically incorporated in this runtime exception s detail message
StringBuilder.trimToSize()	Attempts to reduce storage used for the character sequence
MemoryPoolMXBean.isCollectionUsageThresholdSupported()	Tests if this memory pool supports a collection usage threshold
Short.shortValue()	Returns the value of this Short as a short
StringBuilder.append(char)	Appends the string representation of the char argument to this sequence
Long.parseLong(String)	Parses the string argument as a signed decimal long
String.subSequence(int,int)	Returns a new character sequence that is a subsequence of this sequence
Package.getAnnotation(Class)	Description copied from interface AnnotatedElement
Long.Long(String)	Constructs a newly allocated Long object that represents the long value indicated by the String parameter The string is converted to a long value in exactly the manner used by the parseLong method for radix 10
Class.getCanonicalName()	Returns the canonical name of the underlying class as defined by the Java Language Specification Returns null if the underlying class does not have a canonical name i e if it is a local or anonymous class or an array whose component type does not have a canonical name
ThreadGroup.getName()	Returns the name of this thread group
Instrumentation.retransformClasses(Class)	Retransform the supplied set of classes
ThreadMXBean.getAllThreadIds()	Returns all live thread IDs
Process.waitFor()	Causes the current thread to wait if necessary until the process represented by this Process object has terminated This method returns immediately if the subprocess has already terminated If the subprocess has not yet terminated the calling thread will be blocked until the subprocess exits
String.endsWith(String)	Tests if this string ends with the specified suffix
GenericSignatureFormatError.GenericSignatureFormatError()	
Field.getByte(Object)	Gets the value of a static or instance byte field
String.startsWith(String)	Tests if this string starts with the specified prefix
Field.getDouble(Object)	Gets the value of a static or instance field of type double or of another primitive type convertible to type double via a widening conversion
Proxy.newProxyInstance(ClassLoader,Class,InvocationHandler)	Returns an instance of a proxy class for the specified interfaces that dispatches method invocations to the specified invocation handler This method is equivalent to Proxy getProxyClass loader interfaces
Float.hashCode()	Returns a hash code for this Float object The result is the integer bit representation exactly as produced by the method floatToIntBits float of the primitive float value represented by this Float object
String.toUpperCase(Locale)	Converts all of the characters in this String to upper case using the rules of the given Locale Case mapping is based on the Unicode Standard version specified by the Character class Since case mappings are not always 1 1 char mappings the resulting String may be a different length than the original String
Character.forDigit(int,int)	Determines the character representation for a specific digit in the specified radix If the value of radix is not a valid radix or the value of digit is not a valid digit in the specified radix the null character u0000 is returned
Constructor.toString()	Returns a string describing this Constructor The string is formatted as the constructor access modifiers if any followed by the fully qualified name of the declaring class followed by a parenthesized comma separated list of the constructor s formal parameter types For example public java util Hashtable int float The only possible modifiers for constructors are the access modifiers public protected or private Only one of these may appear or none if the constructor has default package access
Class.isSynthetic()	Returns true if this class is a synthetic class returns false otherwise
Thread.setContextClassLoader(ClassLoader)	Sets the context ClassLoader for this Thread The context ClassLoader can be set when a thread is created and allows the creator of the thread to provide the appropriate class loader through getContextClassLoader to code running in the thread when loading classes and resources
ManagementFactory.getPlatformMXBeans(Class)	Returns the list of platform MXBeans implementing the given mxbeanInterface in the Java virtual machine
StringBuffer.StringBuffer()	Constructs a string buffer with no characters in it and an initial capacity of 16 characters
MemoryNotificationInfo.getUsage()	Returns the memory usage of the memory pool when this notification was constructed
Array.getChar(Object,int)	Returns the value of the indexed component in the specified array object as a char
Integer.compare(int,int)	Compares two int values numerically
ManagementFactory.getPlatformMXBean(Class)	Returns the platform MXBean implementing the given mxbeanInterface which is specified to have one single instance in the Java virtual machine
RuntimeMXBean.getManagementSpecVersion()	Returns the version of the specification for the management interface implemented by the running Java virtual machine
Byte.floatValue()	Returns the value of this Byte as a float
Long.reverse(long)	Returns the value obtained by reversing the order of the bits in the two s complement binary representation of the specified long value
MethodHandle.asVarargsCollector(Class)	Makes a variable arity adapter which is able to accept any number of trailing positional arguments and collect them into an array argument
MethodHandles.Lookup.findVirtual(Class,String,MethodType)	Produces a method handle for a virtual method
ClassDefinition.getDefinitionClassFile()	Returns the array of bytes that contains the new class file
ClassCastException.ClassCastException()	Constructs a ClassCastException with no detail message
Field.setInt(Object,int)	Sets the value of a field as an int on the specified object
Long.numberOfLeadingZeros(long)	Returns the number of zero bits preceding the highest order leftmost one bit in the two s complement binary representation of the specified long value Returns 64 if the specified value has no one bits in its two s complement representation in other words if it is equal to zero
WrongMethodTypeException.WrongMethodTypeException()	Constructs a WrongMethodTypeException with no detail message
String.String(byte[],int,int)	Constructs a new String by decoding the specified subarray of bytes using the platform s default charset The length of the new String is a function of the charset and hence may not be equal to the length of the subarray
Method.getParameterAnnotations()	Returns an array of arrays that represent the annotations on the formal parameters in declaration order of the method represented by this Method object Returns an array of length zero if the underlying method is parameterless If the method has one or more parameters a nested array of length zero is returned for each parameter with no annotations The annotation objects contained in the returned arrays are serializable The caller of this method is free to modify the returned arrays it will have no effect on the arrays returned to other callers
ThreadGroup.isDaemon()	Tests if this thread group is a daemon thread group A daemon thread group is automatically destroyed when its last thread is stopped or its last thread group is destroyed
String.String(byte[],int,int,int)	Allocates a new String constructed from a subarray of an array of 8 bit integer values
ThreadMXBean.isThreadContentionMonitoringEnabled()	Tests if thread contention monitoring is enabled
BootstrapMethodError.BootstrapMethodError(String)	Constructs a BootstrapMethodError with the specified detail message
MemoryManagerMXBean.getName()	Returns the name representing this memory manager
Class.forName(String,boolean,ClassLoader)	Returns the Class object associated with the class or interface with the given string name using the given class loader
Array.set(Object,int,Object)	Sets the value of the indexed component of the specified array object to the specified new value The new value is first automatically unwrapped if the array has a primitive component type
Thread.Thread(ThreadGroup,Runnable,String,long)	Allocates a new Thread object so that it has target as its run object has the specified name as its name and belongs to the thread group referred to by group and has the specified stack size
Reference.isEnqueued()	Tells whether or not this reference object has been enqueued either by the program or by the garbage collector If this reference object was not registered with a queue when it was created then this method will always return false
StrictMath.log(double)	Returns the natural logarithm base e of a double value Special cases If the argument is NaN or less than zero then the result is NaN
UnmodifiableClassException.UnmodifiableClassException(String)	Constructs an UnmodifiableClassException with the specified detail message
RuntimeException.RuntimeException(Throwable)	Constructs a new runtime exception with the specified cause and a detail message of cause null null cause toString which typically contains the class and detail message of cause This constructor is useful for runtime exceptions that are little more than wrappers for other throwables
Byte.equals(Object)	Compares this object to the specified object The result is true if and only if the argument is not null and is a Byte object that contains the same byte value as this object
Runtime.freeMemory()	Returns the amount of free memory in the Java Virtual Machine
LinkageError.LinkageError(String)	Constructs a LinkageError with the specified detail message
ReflectiveOperationException.ReflectiveOperationException(Throwable)	Constructs a new exception with the specified cause and a detail message of cause null null cause toString which typically contains the class and detail message of cause
MonitorInfo.getLockedStackFrame()	Returns the stack frame that locked the object monitor
Throwable.setStackTrace(StackTraceElement[])	Sets the stack trace elements that will be returned by getStackTrace and printed by printStackTrace and related methods
SwitchPoint.invalidateAll(SwitchPoint[])	Sets all of the given switch points into the invalid state
StrictMath.acos(double)	Returns the arc cosine of a value the returned angle is in the range 0 0 through pi Special case If the argument is NaN or its absolute value is greater than 1 then the result is NaN
ClassNotFoundException.getException()	Returns the exception that was raised if an error occurred while attempting to load the class Otherwise returns null
Runtime.halt(int)	Forcibly terminates the currently running Java virtual machine This method never returns normally
Instrumentation.addTransformer(ClassFileTransformer)	Registers the supplied transformer
PlatformLoggingMXBean.setLoggerLevel(String,String)	Sets the specified logger to the specified new level
Character.toTitleCase(char)	Converts the character argument to titlecase using case mapping information from the UnicodeData file If a character has no explicit titlecase mapping and is not itself a titlecase char according to UnicodeData then the uppercase mapping is returned as an equivalent titlecase mapping If the char argument is already a titlecase char the same char value will be returned
MethodType.returnType()	Returns the return type of this method type
Field.hashCode()	Returns a hashcode for this Field This is computed as the exclusive or of the hashcodes for the underlying field s declaring class name and its name
IllegalArgumentException.IllegalArgumentException()	Constructs an IllegalArgumentException with no detail message
ThreadGroup.checkAccess()	Determines if the currently running thread has permission to modify this thread group
Package.getSpecificationVendor()	Return the name of the organization vendor or company that owns and maintains the specification of the classes that implement this package
Class.isInterface()	Determines if the specified Class object represents an interface type
UndeclaredThrowableException.UndeclaredThrowableException(Throwable)	Constructs an UndeclaredThrowableException with the specified Throwable
ClassValue.remove(Class)	Removes the associated value for the given class
IllegalStateException.IllegalStateException(Throwable)	Constructs a new exception with the specified cause and a detail message of cause null null cause toString which typically contains the class and detail message of cause
Throwable.getMessage()	Returns the detail message string of this throwable
ThreadGroup.activeCount()	Returns an estimate of the number of active threads in this thread group and its subgroups Recursively iterates over all subgroups in this thread group
StackTraceElement.StackTraceElement(String,String,String,int)	Creates a stack trace element representing the specified execution point
Reference.get()	Returns this reference object s referent If this reference object has been cleared either by the program or by the garbage collector then this method returns null
StringBuffer.lastIndexOf(String)	Returns the index within this string of the rightmost occurrence of the specified substring The rightmost empty string is considered to occur at the index value this length
RuntimeMXBean.getBootClassPath()	Returns the boot class path that is used by the bootstrap class loader to search for class files
GenericDeclaration.getTypeParameters()	Returns an array of TypeVariable objects that represent the type variables declared by the generic declaration represented by this GenericDeclaration object in declaration order Returns an array of length 0 if the underlying generic declaration declares no type variables
ThreadGroup.enumerate(ThreadGroup[],boolean)	Copies into the specified array references to every active subgroup in this thread group If recurse is true this method recursively enumerates all subgroups of this thread group and references to every active thread group in these subgroups are also included
MethodType.hasPrimitives()	Reports if this type contains a primitive argument or return value
Long.decode(String)	Decodes a String into a Long
Class.isEnum()	Returns true if and only if this class was declared as an enum in the source code
AccessibleObject.getDeclaredAnnotations()	Description copied from interface AnnotatedElement
Class.asSubclass(Class)	Casts this Class object to represent a subclass of the class represented by the specified class object Checks that that the cast is valid and throws a ClassCastException if it is not If this method succeeds it always returns a reference to this class object
MethodType.toMethodDescriptorString()	Produces a bytecode descriptor representation of the method type
Array.getLength(Object)	Returns the length of the specified array object as an int
Constructor.getDeclaredAnnotations()	Description copied from interface AnnotatedElement
StrictMath.toDegrees(double)	Converts an angle measured in radians to an approximately equivalent angle measured in degrees The conversion from radians to degrees is generally inexact users should not expect cos toRadians 90 0 to exactly equal 0 0
ThreadInfo.getBlockedCount()	Returns the total number of times that the thread associated with this ThreadInfo blocked to enter or reenter a monitor
System.lineSeparator()	Returns the system dependent line separator string It always returns the same value the initial value of the system property line separator
Integer.equals(Object)	Compares this object to the specified object The result is true if and only if the argument is not null and is an Integer object that contains the same int value as this object
MethodHandles.arrayElementGetter(Class)	Produces a method handle giving read access to elements of an array
