ConcurrentLinkedDeque.ConcurrentLinkedDeque()	Constructs an empty deque
AtomicLongArray.getAndIncrement(int)	Atomically increments by one the element at index i
AtomicLongArray.getAndSet(int,long)	Atomically sets the element at position i to the given value and returns the old value
Preferences.systemRoot()	Returns the root preference node for the system
Deflater.finish()	When called indicates that compression should end with the current contents of the input buffer
Stack.peek()	Looks at the object at the top of this stack without removing it from the stack
TreeMap.higherEntry(K)	Description copied from interface NavigableMap
BitSet.set(int,boolean)	Sets the bit at the specified index to the specified value
ArrayBlockingQueue.put(E)	Inserts the specified element at the tail of this queue waiting for space to become available if the queue is full
DelayQueue.remove(Object)	Removes a single instance of the specified element from this queue if it is present whether or not it has expired
LinkedList.remove(int)	Removes the element at the specified position in this list Shifts any subsequent elements to the left subtracts one from their indices
Attributes.containsKey(Object)	Returns true if this Map contains the specified attribute name key
Arrays.binarySearch(float[],int,int,float)	Searches a range of the specified array of floats for the specified value using the binary search algorithm
AbstractQueuedSynchronizer.acquireInterruptibly(int)	Acquires in exclusive mode aborting if interrupted
ConcurrentSkipListMap.ConcurrentSkipListMap(Comparator)	Constructs a new empty map sorted according to the specified comparator
Semaphore.availablePermits()	Returns the current number of permits available in this semaphore
SimpleFormatter.format(LogRecord)	Format the given LogRecord
LocaleNameProvider.getDisplayCountry(String,Locale)	Returns a localized name for the given IETF BCP47 region code either ISO 3166 country code or UN M 49 area codes and the given locale that is appropriate for display to the user
DeflaterInputStream.markSupported()	Always returns false because this input stream does not support the mark and reset methods
List.addAll(Collection)	Appends all of the elements in the specified collection to the end of this list in the order that they are returned by the specified collection s iterator optional operation The behavior of this operation is undefined if the specified collection is modified while the operation is in progress Note that this will occur if the specified collection is this list and it s nonempty
ThreadLocalRandom.nextDouble(double,double)	Returns a pseudorandom uniformly distributed value between the given least value inclusive and bound exclusive
LinkedTransferQueue.offer(E,long,TimeUnit)	Inserts the specified element at the tail of this queue
TreeMap.firstEntry()	Description copied from interface NavigableMap
CopyOnWriteArrayList.containsAll(Collection)	Returns true if this list contains all of the elements of the specified collection
AtomicLongFieldUpdater.newUpdater(Class,String)	Creates and returns an updater for objects with the given field
ThreadPoolExecutor.getMaximumPoolSize()	Returns the maximum allowed number of threads
FileHandler.FileHandler(String)	Initialize a FileHandler to write to the given filename
Objects.compare(T,T,Comparator)	Returns 0 if the arguments are identical and c compare a b otherwise
LinkedBlockingQueue.remove(Object)	Removes a single instance of the specified element from this queue if it is present More formally removes an element e such that o equals e if this queue contains one or more such elements
InflaterInputStream.markSupported()	Tests if this input stream supports the mark and reset methods The markSupported method of InflaterInputStream returns false
HashMap.HashMap(int)	Constructs an empty HashMap with the specified initial capacity and the default load factor 0 75
PriorityBlockingQueue.toArray(T[])	Returns an array containing all of the elements in this queue the runtime type of the returned array is that of the specified array
Scanner.nextFloat()	Scans the next token of the input as a float
UUID.getLeastSignificantBits()	Returns the least significant 64 bits of this UUID s 128 bit value
Calendar.set(int,int,int)	Sets the values for the calendar fields YEAR MONTH and DAY OF MONTH
Scanner.nextLong()	Scans the next token of the input as a long
TimeZone.getAvailableIDs(int)	Gets the available IDs according to the given time zone offset in milliseconds
ConcurrentHashMap.remove(Object,Object)	Removes the entry for a key only if currently mapped to a given value
Vector.insertElementAt(E,int)	Inserts the specified object as a component in this vector at the specified index Each component in this vector with an index greater or equal to the specified index is shifted upward to have an index one greater than the value it had previously
ReentrantLock.lockInterruptibly()	Acquires the lock unless the current thread is interrupted
EventObject.EventObject(Object)	Constructs a prototypical Event
Scanner.remove()	The remove operation is not supported by this implementation of Iterator
List.toArray()	Returns an array containing all of the elements in this list in proper sequence from first to last element
Matcher.replaceAll(String)	Replaces every subsequence of the input sequence that matches the pattern with the given replacement string
NavigableMap.higherKey(K)	Returns the least key strictly greater than the given key or null if there is no such key
FutureTask.isDone()	Description copied from interface Future
Vector.indexOf(Object)	Returns the index of the first occurrence of the specified element in this vector or 1 if this vector does not contain the element
BackingStoreException.BackingStoreException(Throwable)	Constructs a BackingStoreException with the specified cause
DelayQueue.DelayQueue(Collection)	Creates a DelayQueue initially containing the elements of the given collection of Delayed instances
ForkJoinPool.execute(ForkJoinTask)	Arranges for asynchronous execution of the given task
Arrays.copyOfRange(T[],int,int)	Copies the specified range of the specified array into a new array
Formatter.Formatter()	Constructs a new formatter
ConcurrentSkipListSet.headSet(E,boolean)	Description copied from interface NavigableSet
Formatter.Formatter(File,String,Locale)	Constructs a new formatter with the specified file charset and locale
Executors.newScheduledThreadPool(int,ThreadFactory)	Creates a thread pool that can schedule commands to run after a given delay or to execute periodically
ConcurrentMap.replace(K,V,V)	Replaces the entry for a key only if currently mapped to a given value
BitSet.equals(Object)	Compares this object against the specified object
ConcurrentSkipListMap.navigableKeySet()	Description copied from interface ConcurrentNavigableMap
Phaser.Phaser()	Creates a new phaser with no initially registered parties no parent and initial phase number 0 Any thread using this phaser will need to first register for it
PatternSyntaxException.getMessage()	Returns a multi line string containing the description of the syntax error and its index the erroneous regular expression pattern and a visual indication of the error index within the pattern
ArrayDeque.element()	Retrieves but does not remove the head of the queue represented by this deque This method differs from peek only in that it throws an exception if this deque is empty
ResourceBundle.getBundle(String)	Gets a resource bundle using the specified base name the default locale and the caller s class loader Calling this method is equivalent to calling getBundle baseName Locale getDefault this getClass getClassLoader except that getClassLoader is run with the security privileges of ResourceBundle
DelayQueue.put(E)	Inserts the specified element into this delay queue As the queue is unbounded this method will never block
Pack200.Packer.pack(JarInputStream,OutputStream)	Takes a JarInputStream and converts it into a Pack200 archive
AtomicMarkableReference.getReference()	Returns the current value of the reference
Collections.synchronizedCollection(Collection)	Returns a synchronized thread safe collection backed by the specified collection In order to guarantee serial access it is critical that all access to the backing collection is accomplished through the returned collection
Matcher.find(int)	Resets this matcher and then attempts to find the next subsequence of the input sequence that matches the pattern starting at the specified index
ThreadLocalRandom.nextInt(int,int)	Returns a pseudorandom uniformly distributed value between the given least value inclusive and bound exclusive
PropertyPermission.hashCode()	Returns the hash code value for this object
HashSet.add(E)	Adds the specified element to this set if it is not already present
Logger.getAnonymousLogger()	Create an anonymous Logger The newly created Logger is not registered in the LogManager namespace There will be no access checks on updates to the logger
SortedMap.values()	Returns a Collection view of the values contained in this map
ArrayBlockingQueue.drainTo(Collection)	Description copied from interface BlockingQueue
LinkedList.peekLast()	Retrieves but does not remove the last element of this list or returns null if this list is empty
AtomicIntegerArray.AtomicIntegerArray(int[])	Creates a new AtomicIntegerArray with the same length as and all elements copied from the given array
Map.Entry.getKey()	Returns the key corresponding to this entry
Pattern.matches(String,CharSequence)	Compiles the given regular expression and attempts to match the given input against it
GregorianCalendar.roll(int,int)	Adds a signed amount to the specified calendar field without changing larger fields
ListIterator.remove()	Removes from the list the last element that was returned by next or previous optional operation This call can only be made once per call to next or previous
BlockingQueue.offer(E,long,TimeUnit)	Inserts the specified element into this queue waiting up to the specified wait time if necessary for space to become available
ConcurrentHashMap.keys()	Returns an enumeration of the keys in this table
ZipOutputStream.ZipOutputStream(OutputStream)	Creates a new ZIP output stream
MissingFormatArgumentException.getMessage()	Description copied from class Throwable
CopyOnWriteArrayList.indexOf(E,int)	Returns the index of the first occurrence of the specified element in this list searching forwards from index or returns 1 if the element is not found
ThreadPoolExecutor.DiscardOldestPolicy.rejectedExecution(Runnable,ThreadPoolExecutor)	Obtains and ignores the next task that the executor would otherwise execute if one is immediately available and then retries execution of task r unless the executor is shut down in which case task r is instead discarded
Currency.getCurrencyCode()	Gets the ISO 4217 currency code of this currency
Preferences.addNodeChangeListener(NodeChangeListener)	Registers the specified listener to receive node change events for this node A node change event is generated when a child node is added to or removed from this node A single removeNode invocation results in multiple node change events one for every node in the subtree rooted at the removed node Events are only guaranteed for changes made within the same JVM as the registered listener though some implementations may generate events for changes made outside this JVM Events may be generated before the changes have become permanent Events are not generated when indirect descendants of this node are added or removed a caller desiring such events must register with each descendant
ZipFile.getComment()	Returns the zip file comment or null if none
Checksum.update(int)	Updates the current checksum with the specified byte
InvalidPreferencesFormatException.InvalidPreferencesFormatException(String)	Constructs an InvalidPreferencesFormatException with the specified detail message
ArrayList.removeAll(Collection)	Removes from this list all of its elements that are contained in the specified collection
AtomicIntegerArray.weakCompareAndSet(int,int,int)	Atomically sets the element at position i to the given updated value if the current value the expected value
ForkJoinWorkerThread.run()	This method is required to be public but should never be called explicitly It performs the main run loop to execute ForkJoinTasks
ConcurrentLinkedDeque.contains(Object)	Returns true if this deque contains at least one element e such that o equals e
ConcurrentSkipListMap.lastKey()	Description copied from interface SortedMap
BlockingDeque.offerFirst(E)	Inserts the specified element at the front of this deque if it is possible to do so immediately without violating capacity restrictions returning true upon success and false if no space is currently available
Arrays.copyOf(double[],int)	Copies the specified array truncating or padding with zeros if necessary so the copy has the specified length For all indices that are valid in both the original array and the copy the two arrays will contain identical values For any indices that are valid in the copy but not the original the copy will contain 0d
Calendar.getInstance(Locale)	Gets a calendar using the default time zone and specified locale
Matcher.usePattern(Pattern)	Changes the Pattern that this Matcher uses to find matches with
LogRecord.getSourceClassName()	Get the name of the class that allegedly issued the logging request
AtomicLongFieldUpdater.incrementAndGet(T)	Atomically increments by one the current value of the field of the given object managed by this updater
SimpleTimeZone.hasSameRules(TimeZone)	Returns true if this zone has the same rules and offset as another zone
AbstractQueuedLongSynchronizer.getWaitQueueLength(ConditionObject)	Returns an estimate of the number of threads waiting on the given condition associated with this synchronizer Note that because timeouts and interrupts may occur at any time the estimate serves only as an upper bound on the actual number of waiters This method is designed for use in monitoring of the system state not for synchronization control
ArrayList.indexOf(Object)	Returns the index of the first occurrence of the specified element in this list or 1 if this list does not contain the element
BitSet.flip(int,int)	Sets each bit from the specified fromIndex inclusive to the specified toIndex exclusive to the complement of its current value
ReentrantReadWriteLock.WriteLock.newCondition()	Returns a Condition instance for use with this Lock instance
TimeZone.clone()	Creates a copy of this TimeZone
AtomicIntegerFieldUpdater.newUpdater(Class,String)	Creates and returns an updater for objects with the given field
ConcurrentSkipListMap.descendingMap()	Description copied from interface ConcurrentNavigableMap
BitSet.valueOf(long[])	Returns a new bit set containing all the bits in the given long array
AbstractQueue.add(E)	Inserts the specified element into this queue if it is possible to do so immediately without violating capacity restrictions returning true upon success and throwing an IllegalStateException if no space is currently available
AbstractCollection.size()	Description copied from interface Collection
TreeMap.firstKey()	Description copied from interface SortedMap
TreeMap.lowerKey(K)	Description copied from interface NavigableMap
TreeSet.tailSet(E)	Description copied from interface NavigableSet
SortedSet.tailSet(E)	Returns a view of the portion of this set whose elements are greater than or equal to fromElement The returned set is backed by this set so changes in the returned set are reflected in this set and vice versa The returned set supports all optional set operations that this set supports
ArrayBlockingQueue.take()	Description copied from interface BlockingQueue
AbstractSequentialList.add(int,E)	Inserts the specified element at the specified position in this list optional operation Shifts the element currently at that position if any and any subsequent elements to the right adds one to their indices
Collection.isEmpty()	Returns true if this collection contains no elements
CopyOnWriteArrayList.addAll(int,Collection)	Inserts all of the elements in the specified collection into this list starting at the specified position Shifts the element currently at that position if any and any subsequent elements to the right increases their indices The new elements will appear in this list in the order that they are returned by the specified collection s iterator
ConcurrentLinkedDeque.removeFirstOccurrence(Object)	Removes the first element e such that o equals e if such an element exists in this deque
MatchResult.end(int)	Returns the offset after the last character of the subsequence captured by the given group during this match
Set.iterator()	Returns an iterator over the elements in this set The elements are returned in no particular order unless this set is an instance of some class that provides a guarantee
ConcurrentSkipListSet.comparator()	Description copied from interface SortedSet
Semaphore.isFair()	Returns true if this semaphore has fairness set true
Date.setDate(int)	Sets the day of the month of this Date object to the specified value This Date object is modified so that it represents a point in time within the specified day of the month with the year month hour minute and second the same as before as interpreted in the local time zone If the date was April 30 for example and the date is set to 31 then it will be treated as if it were on May 1 because April has only 30 days
ConcurrentSkipListSet.descendingIterator()	Returns an iterator over the elements in this set in descending order
ScheduledThreadPoolExecutor.getExecuteExistingDelayedTasksAfterShutdownPolicy()	Gets the policy on whether to execute existing delayed tasks even when this executor has been shutdown
AbstractQueuedSynchronizer.isQueued(Thread)	Returns true if the given thread is currently queued
LinkedBlockingDeque.peekFirst()	Description copied from interface Deque
TreeSet.last()	Description copied from interface SortedSet
AtomicLong.weakCompareAndSet(long,long)	Atomically sets the value to the given updated value if the current value the expected value
UUID.nameUUIDFromBytes(byte[])	Static factory to retrieve a type 3 name based UUID based on the specified byte array
DeflaterOutputStream.DeflaterOutputStream(OutputStream,Deflater,boolean)	Creates a new output stream with the specified compressor flush mode and a default buffer size
ConcurrentLinkedDeque.element()	Description copied from interface Deque
Locale.getISOLanguages()	Returns a list of all 2 letter language codes defined in ISO 639
AbstractSequentialList.listIterator(int)	Returns a list iterator over the elements in this list in proper sequence
ForkJoinPool.isTerminating()	Returns true if the process of termination has commenced but not yet completed This method may be useful for debugging A return of true reported a sufficient period after shutdown may indicate that submitted tasks have ignored or suppressed interruption or are waiting for IO causing this executor not to properly terminate See the advisory notes for class ForkJoinTask stating that tasks should not normally entail blocking operations But if they do they must abort them on interrupt
InflaterOutputStream.InflaterOutputStream(OutputStream,Inflater)	Creates a new output stream with the specified decompressor and a default buffer size
LogRecord.getThrown()	Get any throwable associated with the log record
CRC32.getValue()	Returns CRC 32 value
Hashtable.put(K,V)	Maps the specified key to the specified value in this hashtable Neither the key nor the value can be null The value can be retrieved by calling the get method with a key that is equal to the original key
ScheduledThreadPoolExecutor.setRemoveOnCancelPolicy(boolean)	Sets the policy on whether cancelled tasks should be immediately removed from the work queue at time of cancellation This value is by default false
Locale.forLanguageTag(String)	Returns a locale for the specified IETF BCP 47 language tag string
Executors.newFixedThreadPool(int)	Creates a thread pool that reuses a fixed number of threads operating off a shared unbounded queue At any point at most nThreads threads will be active processing tasks
Arrays.sort(T[],Comparator)	Sorts the specified array of objects according to the order induced by the specified comparator All elements in the array must be mutually comparable by the specified comparator that is c compare e1 e2 must not throw a ClassCastException for any elements e1 and e2 in the array
EventListenerProxy.getListener()	Returns the listener associated with the proxy
Currency.getSymbol(Locale)	Gets the symbol of this currency for the specified locale
Collections.checkedSortedMap(SortedMap,Class,Class)	Returns a dynamically typesafe view of the specified sorted map
ArrayList.toArray(T[])	Returns an array containing all of the elements in this list in proper sequence from first to last element the runtime type of the returned array is that of the specified array If the list fits in the specified array it is returned therein Otherwise a new array is allocated with the runtime type of the specified array and the size of this list
Vector.ensureCapacity(int)	Increases the capacity of this vector if necessary to ensure that it can hold at least the number of components specified by the minimum capacity argument
WeakHashMap.isEmpty()	Returns true if this map contains no key value mappings
LogRecord.setLoggerName(String)	Set the source Logger s name
Currency.getNumericCode()	Returns the ISO 4217 numeric code of this currency
Timer.schedule(TimerTask,Date,long)	Schedules the specified task for repeated fixed delay execution beginning at the specified time Subsequent executions take place at approximately regular intervals separated by the specified period
LogManager.reset()	Reset the logging configuration
Attributes.getValue(Name)	Returns the value of the specified Attributes Name or null if the attribute was not found
ArrayBlockingQueue.ArrayBlockingQueue(int)	Creates an ArrayBlockingQueue with the given fixed capacity and default access policy
Calendar.setLenient(boolean)	Specifies whether or not date time interpretation is to be lenient With lenient interpretation a date such as February 942 1996 will be treated as being equivalent to the 941st day after February 1 1996
AtomicLong.doubleValue()	Description copied from class Number
LinkedList.removeFirst()	Removes and returns the first element from this list
ForkJoinTask.quietlyInvoke()	Commences performing this task and awaits its completion if necessary without returning its result or throwing its exception
Calendar.getInstance(TimeZone,Locale)	Gets a calendar with the specified time zone and locale
Objects.hash()	Generates a hash code for a sequence of input values The hash code is generated as if all the input values were placed into an array and that array were hashed by calling Arrays hashCode Object
ForkJoinPool.getParallelism()	Returns the targeted parallelism level of this pool
AtomicLongFieldUpdater.weakCompareAndSet(T,long,long)	Atomically sets the field of the given object managed by this updater to the given updated value if the current value the expected value This method is guaranteed to be atomic with respect to other calls to compareAndSet and set but not necessarily with respect to other changes in the field
TreeMap.comparator()	Description copied from interface SortedMap
LinkedBlockingDeque.addLast(E)	Description copied from interface BlockingDeque
ConcurrentHashMap.containsKey(Object)	Tests if the specified object is a key in this table
Locale.Builder.clearExtensions()	Resets the extensions to their initial empty state
ArrayDeque.getLast()	Description copied from interface Deque
PropertyPermission.newPermissionCollection()	Returns a new PermissionCollection object for storing PropertyPermission objects
Collections.singleton(T)	Returns an immutable set containing only the specified object
AbstractMap.SimpleImmutableEntry.toString()	Returns a String representation of this map entry This implementation returns the string representation of this entry s key followed by the equals character followed by the string representation of this entry s value
Properties.load(Reader)	Reads a property list key and element pairs from the input character stream in a simple line oriented format
LinkedBlockingDeque.toString()	Description copied from class AbstractCollection
Calendar.equals(Object)	Compares this Calendar to the specified Object The result is true if and only if the argument is a Calendar object of the same calendar system that represents the same time value millisecond offset from the Epoch under the same Calendar parameters as this object
ZipEntry.setTime(long)	Sets the modification time of the entry
BlockingQueue.poll(long,TimeUnit)	Retrieves and removes the head of this queue waiting up to the specified wait time if necessary for an element to become available
Future.get()	Waits if necessary for the computation to complete and then retrieves its result
HashMap.values()	Returns a Collection view of the values contained in this map
Date.UTC(int,int,int,int,int,int)	Determines the date and time based on the arguments The arguments are interpreted as a year month day of the month hour of the day minute within the hour and second within the minute exactly as for the Date constructor with six arguments except that the arguments are interpreted relative to UTC rather than to the local time zone The time indicated is returned represented as the distance measured in milliseconds of that time from the epoch 00 00 00 GMT on January 1 1970
Calendar.setTimeInMillis(long)	Sets this Calendar s current time from the given long value
TreeMap.descendingKeySet()	Description copied from interface NavigableMap
ArrayList.ArrayList()	Constructs an empty list with an initial capacity of ten
BlockingDeque.putFirst(E)	Inserts the specified element at the front of this deque waiting if necessary for space to become available
LogRecord.setThrown(Throwable)	Set a throwable associated with the log event
Inflater.reset()	Resets inflater so that a new set of input data can be processed
NavigableSet.higher(E)	Returns the least element in this set strictly greater than the given element or null if there is no such element
Scanner.hasNextShort()	Returns true if the next token in this scanner s input can be interpreted as a short value in the default radix using the nextShort method The scanner does not advance past any input
TreeMap.containsKey(Object)	Returns true if this map contains a mapping for the specified key
ConcurrentSkipListSet.subSet(E,boolean,E,boolean)	Description copied from interface NavigableSet
Set.toArray()	Returns an array containing all of the elements in this set
ReentrantReadWriteLock.ReentrantReadWriteLock()	Creates a new ReentrantReadWriteLock with default nonfair ordering properties
ReentrantReadWriteLock.ReadLock.unlock()	Attempts to release this lock
TimeZone.TimeZone()	Sole constructor For invocation by subclass constructors typically implicit
ArrayList.size()	Returns the number of elements in this list
CopyOnWriteArrayList.lastIndexOf(E,int)	Returns the index of the last occurrence of the specified element in this list searching backwards from index or returns 1 if the element is not found
Handler.setErrorManager(ErrorManager)	Define an ErrorManager for this Handler
Calendar.getWeeksInWeekYear()	Returns the number of weeks in the week year represented by this Calendar
HashMap.get(Object)	Returns the value to which the specified key is mapped or null if this map contains no mapping for the key
AbstractMap.remove(Object)	Removes the mapping for a key from this map if it is present optional operation More formally if this map contains a mapping from key k to value v such that key null k null key equals k that mapping is removed The map can contain at most one such mapping Returns the value to which this map previously associated the key or null if the map contained no mapping for the key
Logger.log(Level,String,Object)	Log a message with one object parameter
AtomicLongFieldUpdater.set(T,long)	Sets the field of the given object managed by this updater to the given updated value This operation is guaranteed to act as a volatile store with respect to subsequent invocations of compareAndSet
ConcurrentSkipListMap.lowerKey(K)	Description copied from interface NavigableMap
BackingStoreException.BackingStoreException(String)	Constructs a BackingStoreException with the specified detail message
Preferences.getLong(String,long)	Returns the long value represented by the string associated with the specified key in this preference node The string is converted to a long as by Long parseLong String Returns the specified default if there is no value associated with the key the backing store is inaccessible or if Long parseLong String would throw a NumberFormatException if the associated value were passed This method is intended for use in conjunction with putLong java lang String long
Objects.requireNonNull(T)	Checks that the specified object reference is not null This method is designed primarily for doing parameter validation in methods and constructors as demonstrated below public Foo Bar bar this bar Objects requireNonNull bar
Arrays.binarySearch(T[],T,Comparator)	Searches the specified array for the specified object using the binary search algorithm The array must be sorted into ascending order according to the specified comparator as by the sort T Comparator method prior to making this call If it is not sorted the results are undefined
AtomicIntegerArray.getAndDecrement(int)	Atomically decrements by one the element at index i
LinkedBlockingQueue.remainingCapacity()	Returns the number of additional elements that this queue can ideally in the absence of memory or resource constraints accept without blocking This is always equal to the initial capacity of this queue less the current size of this queue
ConcurrentLinkedDeque.offerLast(E)	Inserts the specified element at the end of this deque
Collections.list(Enumeration)	Returns an array list containing the elements returned by the specified enumeration in the order they are returned by the enumeration This method provides interoperability between legacy APIs that return enumerations and new APIs that require collections
PriorityQueue.PriorityQueue(Collection)	Creates a PriorityQueue containing the elements in the specified collection If the specified collection is an instance of a SortedSet or is another PriorityQueue this priority queue will be ordered according to the same ordering
TreeMap.lastKey()	Description copied from interface SortedMap
LinkedBlockingDeque.removeLast()	Description copied from interface Deque
TransferQueue.tryTransfer(E)	Transfers the element to a waiting consumer immediately if possible
AtomicInteger.intValue()	Description copied from class Number
GZIPOutputStream.finish()	Finishes writing compressed data to the output stream without closing the underlying stream Use this method when applying multiple filters in succession to the same output stream
Locale.Locale.forLanguageTag("en-US-x-lvariant-POSIX");)	
Logger.removeHandler(Handler)	Remove a log Handler
Logger.logp(Level,String,String,String)	Log a message specifying source class and method with no arguments
Deflater.Deflater(int,boolean)	Creates a new compressor using the specified compression level
IdentityHashMap.putAll(Map)	Copies all of the mappings from the specified map to this map
Collections.enumeration(Collection)	Returns an enumeration over the specified collection This provides interoperability with legacy APIs that require an enumeration as input
LinkedList.addAll(Collection)	Appends all of the elements in the specified collection to the end of this list in the order that they are returned by the specified collection s iterator The behavior of this operation is undefined if the specified collection is modified while the operation is in progress Note that this will occur if the specified collection is this list and it s nonempty
Scanner.nextBoolean()	Scans the next token of the input into a boolean value and returns that value This method will throw InputMismatchException if the next token cannot be translated into a valid boolean value
EventListenerProxy.EventListenerProxy(EventListener>)	Creates a proxy for the specified listener
Locale.getCountry()	Returns the country region code for this locale which should either be the empty string an uppercase ISO 3166 2 letter code or a UN M 49 3 digit code
ConcurrentLinkedDeque.pollFirst()	Description copied from interface Deque
ConcurrentSkipListMap.tailMap(K,boolean)	Description copied from interface NavigableMap
ConcurrentSkipListMap.remove(Object)	Removes the mapping for the specified key from this map if present
ConcurrentSkipListSet.clone()	Returns a shallow copy of this ConcurrentSkipListSet instance The elements themselves are not cloned
ReentrantReadWriteLock.writeLock()	Description copied from interface ReadWriteLock
Dictionary.get(Object)	Returns the value to which the key is mapped in this dictionary
AtomicReferenceArray.weakCompareAndSet(int,E,E)	Atomically sets the element at position i to the given updated value if the current value the expected value
Arrays.sort(byte[])	Sorts the specified array into ascending numerical order
Locale.equals(Object)	Returns true if this Locale is equal to another object A Locale is deemed equal to another Locale with identical language script country variant and extensions and unequal to all other objects
List.add(E)	Appends the specified element to the end of this list optional operation
LinkedList.add(int,E)	Inserts the specified element at the specified position in this list
StringTokenizer.hasMoreElements()	Returns the same value as the hasMoreTokens method It exists so that this class can implement the Enumeration interface
Scanner.Scanner(Path)	Constructs a new Scanner that produces values scanned from the specified file Bytes from the file are converted into characters using the underlying platform s default charset
AtomicMarkableReference.AtomicMarkableReference(V,boolean)	Creates a new AtomicMarkableReference with the given initial values
HashMap.clear()	Removes all of the mappings from this map
LinkedHashMap.containsValue(Object)	Returns true if this map maps one or more keys to the specified value
ScheduledThreadPoolExecutor.ScheduledThreadPoolExecutor(int,RejectedExecutionHandler)	Creates a new ScheduledThreadPoolExecutor with the given initial parameters
CopyOnWriteArrayList.iterator()	Returns an iterator over the elements in this list in proper sequence
AbstractPreferences.addNodeChangeListener(NodeChangeListener)	Description copied from class Preferences
AbstractMap.isEmpty()	Returns true if this map contains no key value mappings
JarFile.entries()	Returns an enumeration of the zip file entries
Collection.removeAll(Collection)	Removes all of this collection s elements that are also contained in the specified collection optional operation After this call returns this collection will contain no elements in common with the specified collection
ConcurrentSkipListMap.equals(Object)	Compares the specified object with this map for equality
NavigableMap.tailMap(K)	Returns a view of the portion of this map whose keys are greater than or equal to fromKey The returned map is backed by this map so changes in the returned map are reflected in this map and vice versa The returned map supports all optional map operations that this map supports
Date.getMinutes()	Returns the number of minutes past the hour represented by this date as interpreted in the local time zone
LoggingMXBean.getLoggerLevel(String)	Gets the name of the log level associated with the specified logger
LogManager.readConfiguration()	Reinitialize the logging properties and reread the logging configuration
ForkJoinTask.isCompletedNormally()	Returns true if this task completed without throwing an exception and was not cancelled
TreeMap.lastEntry()	Description copied from interface NavigableMap
List.hashCode()	Returns the hash code value for this list The hash code of a list is defined to be the result of the following calculation int hashCode 1 for E e list hashCode 31 hashCode e null 0 e hashCode This ensures that list1 equals list2 implies that list1 hashCode list2 hashCode for any two lists list1 and list2 as required by the general contract of Object hashCode
AbstractList.listIterator(int)	Returns a list iterator over the elements in this list in proper sequence starting at the specified position in the list
Semaphore.acquireUninterruptibly(int)	Acquires the given number of permits from this semaphore blocking until all are available
LockSupport.parkUntil(long)	Disables the current thread for thread scheduling purposes until the specified deadline unless the permit is available
Scanner.delimiter()	Returns the Pattern this Scanner is currently using to match delimiters
FutureTask.FutureTask(Callable)	Creates a FutureTask that will upon running execute the given Callable
AbstractExecutorService.submit(Callable)	Description copied from interface ExecutorService
BitSet.length()	Returns the logical size of this BitSet the index of the highest set bit in the BitSet plus one Returns zero if the BitSet contains no set bits
Currency.getInstance(String)	Returns the Currency instance for the given currency code
Scanner.locale()	Returns this scanner s locale
Arrays.fill(char[],char)	Assigns the specified char value to each element of the specified array of chars
CyclicBarrier.await(long,TimeUnit)	Waits until all parties have invoked await on this barrier or the specified waiting time elapses
NavigableSet.lower(E)	Returns the greatest element in this set strictly less than the given element or null if there is no such element
AbstractSequentialList.remove(int)	Removes the element at the specified position in this list optional operation Shifts any subsequent elements to the left subtracts one from their indices Returns the element that was removed from the list
PriorityBlockingQueue.toArray()	Returns an array containing all of the elements in this queue
Hashtable.Hashtable(int,float)	Constructs a new empty hashtable with the specified initial capacity and the specified load factor
JarOutputStream.JarOutputStream(OutputStream)	Creates a new JarOutputStream with no manifest
Collections.fill(List,T)	Replaces all of the elements of the specified list with the specified element This method runs in linear time
List.listIterator(int)	Returns a list iterator over the elements in this list in proper sequence starting at the specified position in the list
UUID.compareTo(UUID)	Compares this UUID with the specified UUID
ReentrantReadWriteLock.ReadLock.toString()	Returns a string identifying this lock as well as its lock state
ConcurrentHashMap.ConcurrentHashMap(int,float,int)	Creates a new empty map with the specified initial capacity load factor and concurrency level
IllegalFormatWidthException.IllegalFormatWidthException(int)	Constructs an instance of this class with the specified width
ListIterator.hasNext()	Returns true if this list iterator has more elements when traversing the list in the forward direction In other words returns true if next would return an element rather than throwing an exception
HashMap.clone()	Returns a shallow copy of this HashMap instance the keys and values themselves are not cloned
Date.getTimezoneOffset()	Returns the offset measured in minutes for the local time zone relative to UTC that is appropriate for the time represented by this Date object
MatchResult.start(int)	Returns the start index of the subsequence captured by the given group during this match
TreeMap.TreeMap(Map)	Constructs a new tree map containing the same mappings as the given map ordered according to the natural ordering of its keys
AtomicIntegerFieldUpdater.get(T)	Gets the current value held in the field of the given object managed by this updater
GregorianCalendar.getWeeksInWeekYear()	Returns the number of weeks in the week year represented by this GregorianCalendar
BlockingQueue.drainTo(Collection,int)	Removes at most the given number of available elements from this queue and adds them to the given collection A failure encountered while attempting to add elements to collection c may result in elements being in neither either or both collections when the associated exception is thrown Attempts to drain a queue to itself result in IllegalArgumentException Further the behavior of this operation is undefined if the specified collection is modified while the operation is in progress
AtomicLong.getAndIncrement()	Atomically increments by one the current value
TreeSet.TreeSet(SortedSet)	Constructs a new tree set containing the same elements and using the same ordering as the specified sorted set
Collections.checkedSet(Set,Class)	Returns a dynamically typesafe view of the specified set
TreeMap.TreeMap(SortedMap)	Constructs a new tree map containing the same mappings and using the same ordering as the specified sorted map This method runs in linear time
DelayQueue.take()	Retrieves and removes the head of this queue waiting if necessary until an element with an expired delay is available on this queue
