AffineTransform.clone()	Returns a copy of this AffineTransform object
Rectangle2D.Float.setRect(double,double,double,double)	Sets the location and size of this Rectangle2D to the specified double values
Rectangle2D.Float.getY()	Returns the Y coordinate of the upper left corner of the framing rectangle in double precision
Path2D.contains(double,double,double,double)	Tests if the interior of the Shape entirely contains the specified rectangular area All coordinates that lie inside the rectangular area must lie within the Shape for the entire rectangular area to be considered contained within the Shape
CubicCurve2D.solveCubic(double[])	Solves the cubic whose coefficients are in the eqn array and places the non complex roots back into the same array returning the number of roots The solved cubic is represented by the equation eqn c b a d dx 3 ax 2 bx c 0 A return value of 1 is used to distinguish a constant equation that might be always 0 or never 0 from an equation that has no zeroes
QuadCurve2D.getX1()	Returns the X coordinate of the start point in double in precision
AffineTransform.getRotateInstance(double,double,double)	Returns a transform that rotates coordinates around an anchor point
Rectangle2D.Double.Double()	Constructs a new Rectangle2D initialized to location 0 0 and size 0 0
RoundRectangle2D.Float.Float(float,float,float,float,float,float)	Constructs and initializes a RoundRectangle2D from the specified float coordinates
CubicCurve2D.Double.Double(double,double,double,double,double,double,double,double)	Constructs and initializes a CubicCurve2D from the specified double coordinates
Line2D.getY2()	Returns the Y coordinate of the end point in double precision
Area.Area(Shape)	The Area class creates an area geometry from the specified Shape object The geometry is explicitly closed if the Shape is not already closed The fill rule even odd or winding specified by the geometry of the Shape is used to determine the resulting enclosed area
Line2D.intersectsLine(Line2D)	Tests if the specified line segment intersects this line segment
CubicCurve2D.intersects(double,double,double,double)	Tests if the interior of the Shape intersects the interior of a specified rectangular area
AffineTransform.setToShear(double,double)	Sets this transform to a shearing transformation
AffineTransform.quadrantRotate(int)	Concatenates this transform with a transform that rotates coordinates by the specified number of quadrants
Line2D.relativeCCW(Point2D)	Returns an indicator of where the specified Point2D lies with respect to this line segment
Rectangle2D.Double.createIntersection(Rectangle2D)	Returns a new Rectangle2D object representing the intersection of this Rectangle2D with the specified Rectangle2D
QuadCurve2D.getPathIterator(AffineTransform)	Returns an iteration object that defines the boundary of the shape of this QuadCurve2D
CubicCurve2D.clone()	Creates a new object of the same class as this object
